account_age_days,total_orders,product_rating,discount_percent
1215,25,3.42,4.42
96,97,2.5,5.02
1263,70,4.88,4.45
78,808,3.25,7.41
1989,330,2.5,11.86
175,489,2.5,9.26
624,123,3.57,7.63
1854,520,4.31,9.27
654,178,3.55,9.59
1370,885,3.71,10.13
1430,307,2.99,11.16
623,758,1.77,12.9
1905,604,2.29,12.16
974,111,4.33,6.13
1987,594,4.91,9.0
1238,731,4.69,9.0
1541,513,4.27,9.33
888,793,1.53,13.24
630,475,4.55,9.0
793,373,1.67,13.04
1734,21,2.29,5.89
189,268,1.23,11.18
1015,163,4.44,7.79
660,374,4.52,9.0
361,482,4.64,7.89
1637,440,3.99,9.73
1819,622,3.94,9.8
1817,39,2.18,6.68
47,921,1.5,9.66
1851,339,1.76,12.91
1463,566,2.26,12.2
1214,688,2.94,11.23
671,659,4.08,9.6
424,528,3.65,9.61
1218,260,3.65,10.21
7,700,2.83,7.44
598,602,2.43,11.96
82,18,2.75,3.0
914,663,4.2,9.43
1628,609,1.57,13.19
1731,758,2.33,12.1
1989,617,3.51,10.41
405,716,3.88,9.13
1164,433,1.13,13.81
113,682,3.31,7.6
1318,402,2.99,11.16
867,914,1.91,12.7
950,128,1.58,10.65
1968,782,3.9,9.86
1280,950,4.44,9.09
829,402,1.85,12.79
751,602,3.9,9.86
1750,695,4.9,9.0
1947,113,3.08,7.98
1978,449,4.53,9.0
1723,894,2.66,11.63
1523,754,3.38,10.6
998,922,3.08,11.03
1992,548,3.2,10.86
420,690,1.9,12.07
648,741,2.11,12.41
1777,53,1.44,8.23
379,133,3.33,7.36
792,683,2.27,12.19
194,13,3.87,3.0
1414,658,1.92,12.69
1516,840,2.33,12.1
563,105,3.74,6.76
217,151,4.77,5.02
1960,148,1.24,11.84
1184,68,4.74,4.38
1630,346,4.9,9.0
351,368,2.6,10.52
716,909,4.9,9.0
886,958,1.22,13.69
942,920,4.24,9.37
1640,606,4.67,9.0
1652,313,4.77,9.0
1934,442,2.34,12.09
540,80,2.65,7.44
23,547,2.75,7.68
1203,878,4.55,9.0
727,103,2.85,7.96
540,703,4.82,9.0
1470,134,2.3,9.83
791,167,3.99,8.57
1257,630,4.94,9.0
1971,700,2.34,12.09
1205,112,1.72,9.89
285,601,1.75,11.21
1417,871,4.72,9.0
183,236,1.23,11.14
1242,67,4.95,4.35
1926,731,4.72,9.0
1758,465,2.04,12.51
1423,90,2.66,7.78
619,56,4.27,4.29
1169,605,4.84,9.0
508,992,3.49,10.44
1351,398,3.2,10.86
1773,300,3.88,9.89
1391,381,1.91,12.7
1595,66,1.45,8.67
734,146,4.35,7.32
1547,662,4.02,9.69
1541,519,3.66,10.2
499,53,3.93,4.66
707,79,2.79,7.21
583,299,2.46,11.91
781,621,2.82,11.4
619,574,2.22,12.26
1552,382,1.64,13.09
1196,449,4.57,9.0
890,747,4.89,9.0
843,981,4.55,9.0
663,118,3.54,7.5
579,968,3.89,9.87
488,129,3.7,7.56
489,620,2.53,11.73
801,546,1.75,12.93
1007,530,4.34,9.23
662,885,3.45,10.5
848,783,1.33,13.53
233,296,4.05,7.51
1416,304,1.66,13.06
522,117,1.83,9.91
464,795,3.33,10.38
438,182,4.36,8.07
1105,400,3.42,10.54
1192,699,1.08,13.89
464,830,4.37,8.9
841,278,3.8,10.0
1816,963,3.82,9.97
1425,359,1.13,13.81
216,130,4.63,4.28
1505,893,2.0,12.57
1872,657,4.62,9.0
921,117,3.9,6.95
1744,917,4.57,9.0
821,546,1.11,13.84
768,447,4.86,9.0
1653,499,1.62,13.11
34,101,4.14,3.0
505,522,1.82,12.83
369,20,4.46,3.0
1307,623,3.39,10.59
1831,503,1.43,13.39
1905,60,3.78,5.13
1027,535,1.32,13.54
263,810,4.55,7.1
1177,746,3.57,10.33
396,21,1.48,6.22
1614,694,3.68,10.17
572,893,1.32,13.54
1517,263,4.49,9.01
1593,156,2.67,10.07
1743,854,3.07,11.04
170,913,1.61,10.49
1882,490,3.44,10.51
980,340,3.25,10.79
1798,307,3.45,10.5
1896,714,3.05,11.07
1700,542,4.92,9.0
1857,67,2.78,6.8
989,503,4.62,9.0
650,257,3.58,10.31
1110,842,1.67,13.04
994,82,2.12,8.27
1252,225,3.48,10.46
1699,20,4.84,3.0
485,466,3.26,10.65
116,42,3.59,3.0
895,278,1.07,13.9
674,793,3.75,10.07
1199,297,1.86,12.77
1987,925,3.85,9.93
1623,169,4.07,8.53
1220,52,4.13,4.35
1106,439,2.01,12.56
1244,678,2.21,12.27
1495,517,3.97,9.76
598,486,1.62,13.11
98,216,3.94,6.58
1964,606,2.92,11.26
753,787,4.98,9.0
887,854,4.33,9.24
1259,726,4.78,9.0
1233,95,2.45,8.25
1945,131,4.72,6.59
137,606,1.41,10.51
1272,94,4.98,5.29
1525,327,2.96,11.2
608,860,2.42,11.97
1277,513,3.49,10.44
672,462,2.64,11.66
1036,671,3.54,10.37
891,358,1.09,13.87
1251,245,3.96,9.77
1008,529,3.46,10.49
989,92,3.7,6.36
324,138,3.12,7.39
973,474,3.91,9.84
1393,943,2.86,11.34
1553,118,2.75,8.63
1497,237,3.71,10.13
1786,273,2.82,11.4
191,509,4.15,7.03
1938,971,4.93,9.0
838,825,4.08,9.6
1530,615,3.37,10.61
881,803,3.56,10.34
913,240,4.57,9.0
421,835,4.63,8.37
586,889,4.81,9.0
665,599,2.03,12.53
1333,419,3.78,10.03
1406,845,4.65,9.0
749,782,4.45,9.07
692,297,3.71,10.13
390,567,3.38,9.72
820,735,2.01,12.56
629,24,4.78,3.0
1153,887,4.56,9.0
399,466,4.06,8.82
861,571,3.0,11.14
371,432,3.05,10.04
1962,683,2.33,12.1
1995,770,4.34,9.23
1521,837,4.66,9.0
1653,58,2.86,6.37
1506,127,1.04,11.39
376,725,4.01,8.71
985,26,2.47,5.81
725,333,2.21,12.27
1425,207,2.8,11.43
699,756,1.41,13.41
1382,421,1.46,13.34
929,383,2.47,11.9
1253,438,2.69,11.59
729,921,2.99,11.16
817,410,3.75,10.07
613,808,3.51,10.41
1690,368,3.29,10.73
128,514,3.35,7.67
1424,204,2.51,11.84
1772,302,4.82,9.0
644,737,2.7,11.57
561,123,2.39,9.32
1647,788,2.35,12.07
1290,850,1.27,13.61
857,434,2.35,12.07
1142,880,3.91,9.84
1745,246,1.13,13.81
1037,293,4.73,9.0
1315,130,2.06,10.04
248,871,1.19,11.71
883,299,4.88,9.0
1132,790,1.52,13.26
1099,520,3.68,10.17
1374,363,1.86,12.77
1795,905,4.22,9.4
1773,743,1.74,12.94
399,249,4.95,8.19
1557,396,1.2,13.71
1150,326,3.91,9.84
1626,892,1.35,13.5
1935,373,2.07,12.47
305,6,2.06,4.14
881,84,3.33,6.61
1281,444,3.39,10.59
1443,540,1.88,12.74
258,854,2.11,10.48
149,933,2.76,8.68
1244,676,2.97,11.19
1788,656,3.57,10.33
1599,639,2.55,11.79
356,843,4.49,7.86
456,324,4.29,8.95
712,282,1.61,13.13
1649,163,2.0,11.28
1644,556,4.61,9.0
1275,514,2.12,12.4
546,891,1.39,13.44
1367,49,2.38,6.74
58,90,4.01,3.0
1564,653,1.18,13.74
1111,763,3.76,10.06
1216,928,2.31,12.13
1807,946,1.76,12.91
1909,366,1.17,13.76
1675,101,4.81,5.54
1253,791,1.44,13.37
892,7,4.26,3.0
856,714,4.29,9.3
1701,989,2.86,11.34
1542,858,4.3,9.29
87,592,2.03,9.22
23,189,2.81,7.21
761,551,1.08,13.89
864,522,3.26,10.77
1856,757,3.04,11.09
798,319,3.04,11.09
1883,791,2.89,11.3
1716,804,3.77,10.04
1759,60,1.01,9.09
1630,594,3.5,10.43
845,778,1.68,13.03
1451,651,4.47,9.04
1536,290,4.47,9.04
133,994,1.62,10.18
1001,921,2.99,11.16
189,532,3.93,7.33
1255,603,3.6,10.29
1814,940,3.28,10.74
181,474,1.08,11.33
966,551,1.69,13.01
767,831,4.84,9.0
1110,741,2.76,11.49
1627,527,1.55,13.21
1465,542,4.75,9.0
124,46,3.88,3.0
1931,427,1.57,13.19
946,330,2.08,12.46
1547,302,3.91,9.84
764,555,1.06,13.91
897,724,4.72,9.0
1941,540,3.45,10.5
1112,164,4.49,7.75
1188,700,3.73,10.1
59,52,1.01,5.28
414,188,2.98,10.06
1176,682,1.8,12.86
898,981,4.89,9.0
403,281,3.37,9.84
742,601,1.56,13.2
1782,801,2.08,12.46
1974,602,2.42,11.97
1597,673,1.86,12.77
1097,410,1.68,13.03
1649,62,2.35,7.24
1992,138,4.43,6.93
1293,409,3.81,9.99
19,744,3.82,6.12
133,969,3.27,7.82
1044,297,3.38,10.6
957,461,2.18,12.31
1831,630,3.35,10.64
722,13,2.04,5.97
640,104,3.37,7.25
1451,20,4.88,3.0
553,186,4.87,8.51
513,561,4.8,9.0
1728,141,2.81,9.35
129,833,3.42,7.57
43,549,1.95,8.99
758,345,2.78,11.46
1622,463,2.1,12.43
489,335,4.11,9.47
1981,446,1.07,13.9
920,345,2.61,11.7
1962,472,4.83,9.0
338,622,2.98,9.88
1099,672,2.97,11.19
400,356,3.33,9.87
887,325,2.54,11.8
840,280,1.98,12.6
752,215,1.81,12.84
1736,417,2.12,12.4
1578,494,4.49,9.01
1060,903,2.93,11.24
254,423,4.11,7.59
1334,54,2.01,7.45
1611,906,4.56,9.0
1125,914,4.88,9.0
75,723,3.64,6.83
445,864,2.14,11.93
408,425,3.98,9.01
56,208,3.78,6.48
1302,849,1.14,13.8
1670,866,3.02,11.11
1687,78,1.48,9.04
560,651,2.45,11.93
1068,546,3.68,10.17
1434,832,2.61,11.7
1247,283,2.08,12.46
1027,866,1.84,12.8
419,674,2.62,11.04
1491,391,1.9,12.71
1824,804,3.05,11.07
1032,226,3.34,10.66
1639,623,4.74,9.0
1679,282,2.76,11.49
319,271,4.35,7.77
1725,388,3.88,9.89
1004,527,2.9,11.29
994,698,3.58,10.31
1359,441,3.51,10.41
1378,148,2.3,10.32
1914,634,1.19,13.73
488,839,4.04,9.56
729,906,4.24,9.37
832,52,1.66,7.88
466,806,4.69,8.73
485,612,3.7,10.02
1024,268,4.75,9.0
1219,792,1.5,13.29
1846,648,2.7,11.57
137,606,3.21,7.94
852,809,4.68,9.0
1994,732,3.45,10.5
1620,497,1.56,13.2
346,947,3.08,9.8
1418,533,2.59,11.73
406,227,3.93,9.06
533,618,1.2,13.71
529,940,3.69,10.16
526,649,4.84,9.0
619,436,1.9,12.71
156,58,3.8,3.0
1261,859,4.61,9.0
1660,681,3.31,10.7
1078,278,3.81,9.99
230,490,2.35,9.91
1110,314,3.6,10.29
978,889,2.24,12.23
154,239,1.42,10.63
207,586,4.0,7.37
1744,607,2.64,11.66
1137,273,2.91,11.27
1350,42,1.1,8.33
1629,294,4.88,9.0
919,420,3.82,9.97
543,464,1.89,12.73
118,359,2.13,9.33
1760,183,2.7,10.98
638,943,3.74,10.09
206,727,3.76,7.71
477,657,3.47,10.29
750,195,3.72,9.94
925,28,3.42,4.52
314,148,1.43,10.08
1063,917,2.74,11.51
1801,229,4.24,9.37
67,90,1.68,5.71
574,481,1.45,13.36
901,461,1.97,12.61
1857,765,1.46,13.34
672,582,2.95,11.21
429,109,3.9,6.1
730,867,4.34,9.23
502,625,2.97,11.19
4,25,4.66,3.0
1172,535,2.78,11.46
117,447,2.87,8.26
417,897,3.84,9.28
123,281,3.43,7.51
1404,522,4.36,9.2
519,789,4.46,9.06
698,721,2.78,11.46
1848,784,2.1,12.43
893,553,2.6,11.71
1924,383,1.83,12.81
1826,449,4.93,9.0
460,256,1.69,12.69
1566,241,5.0,9.0
893,266,4.35,9.21
807,888,3.85,9.93
1378,804,3.36,10.63
313,472,1.29,12.09
1777,427,1.5,13.29
718,743,2.77,11.47
589,746,4.75,9.0
342,529,1.24,12.39
1566,775,4.37,9.19
1231,681,4.34,9.23
947,801,1.14,13.8
232,832,4.03,7.53
1309,14,4.8,3.0
1947,892,2.01,12.56
1654,580,4.86,9.0
154,997,4.33,6.47
974,152,4.04,7.98
549,946,1.9,12.71
1000,912,1.78,12.89
1679,404,2.13,12.39
54,187,1.96,8.61
509,152,2.82,9.72
422,363,3.77,9.42
1136,225,4.25,9.36
193,561,4.55,6.54
1440,64,4.36,4.44
1649,620,3.21,10.84
1953,490,4.38,9.17
686,71,1.44,8.86
265,611,2.63,9.79
1680,744,3.91,9.84
1249,76,2.26,7.86
1495,80,2.17,8.13
1142,508,4.17,9.47
345,85,4.77,3.73
1156,283,2.43,11.96
1801,109,3.26,7.59
1167,941,2.25,12.21
1257,378,2.21,12.27
198,914,2.72,9.13
1305,975,2.75,11.5
177,794,4.97,6.42
598,623,4.09,9.59
305,210,1.06,12.35
201,515,1.95,10.25
798,199,2.97,11.15
490,965,1.22,13.61
501,213,2.23,12.24
1124,890,3.11,10.99
1185,653,4.3,9.29
594,532,2.92,11.26
1157,849,3.38,10.6
962,194,1.92,12.48
17,229,1.5,9.42
1578,962,3.13,10.96
435,673,3.1,10.48
1005,943,3.32,10.69
399,919,1.75,12.12
1940,248,3.5,10.43
1148,423,3.87,9.9
1599,317,2.29,12.16
1491,456,4.27,9.33
3,351,1.87,8.78
624,368,2.96,11.2
977,567,3.9,9.86
981,201,3.64,10.23
99,129,2.66,5.94
3,125,2.41,5.38
942,776,3.92,9.83
1064,282,2.89,11.3
767,846,1.15,13.79
119,314,3.67,7.14
907,81,1.81,8.68
1124,709,4.51,9.0
954,987,3.79,10.01
147,910,1.12,11.0
934,442,2.61,11.7
877,299,2.69,11.59
259,720,4.39,7.23
1307,465,3.15,10.93
1448,476,4.91,9.0
289,400,1.89,11.04
511,975,4.39,9.16
1250,71,2.26,7.68
1396,389,1.76,12.91
1636,921,3.71,10.13
1745,160,2.27,10.79
1953,77,2.88,7.01
499,610,1.01,13.98
666,256,4.62,9.0
1400,462,1.07,13.9
690,988,2.96,11.2
1441,387,2.91,11.27
940,146,3.58,8.42
84,646,4.78,5.67
720,783,4.2,9.43
1839,212,2.52,11.83
155,527,4.03,6.91
1891,880,1.63,13.1
1042,257,4.13,9.53
1137,76,4.59,4.66
165,544,3.65,7.53
1169,817,4.33,9.24
1106,672,2.62,11.69
1369,611,1.89,12.73
17,650,2.28,8.31
1939,384,2.52,11.83
1096,173,4.86,8.06
480,667,4.46,8.9
862,915,4.83,9.0
634,278,1.19,13.73
1474,447,2.07,12.47
1097,637,4.41,9.13
1904,791,4.86,9.0
338,410,3.24,9.5
929,755,1.27,13.61
1320,379,4.06,9.63
1586,809,1.07,13.9
1434,21,1.09,7.61
1007,846,4.34,9.23
569,179,2.26,11.47
881,652,2.52,11.83
515,982,4.03,9.67
847,936,1.2,13.71
1015,612,3.73,10.1
853,251,3.51,10.41
690,825,4.35,9.21
77,367,2.77,8.09
651,802,4.95,9.0
885,93,4.76,5.26
1947,446,4.2,9.43
1822,871,2.1,12.43
1315,415,3.95,9.79
1400,335,3.73,10.1
969,173,2.18,11.37
1977,410,3.09,11.01
21,429,4.96,5.17
563,881,2.05,12.5
1964,270,3.94,9.8
1409,522,3.98,9.74
329,73,2.58,5.93
161,47,3.15,3.0
335,839,1.7,11.68
358,238,4.45,7.94
593,193,1.03,13.71
1367,619,1.23,13.67
976,890,3.05,11.07
1010,330,1.89,12.73
1154,646,3.2,10.86
1231,871,3.76,10.06
1565,71,2.34,7.57
106,250,3.91,6.69
903,810,2.42,11.97
290,504,3.29,9.05
1788,989,3.98,9.74
414,922,1.59,12.47
1581,21,1.7,6.74
151,62,3.94,3.0
631,718,2.29,12.16
750,26,4.82,3.0
1540,808,3.83,9.96
127,295,4.88,6.02
646,927,3.51,10.41
1683,287,3.89,9.87
1440,510,2.87,11.33
700,440,2.13,12.39
1065,447,2.92,11.26
1300,718,1.15,13.79
1265,690,3.17,10.9
113,551,1.55,10.12
365,91,3.37,5.72
561,935,1.28,13.6
650,581,2.88,11.31
383,997,1.34,12.58
1142,805,1.45,13.36
1937,738,1.76,12.91
1137,981,4.14,9.51
1815,203,1.11,13.84
1123,905,1.28,13.6
1637,788,2.06,12.49
629,373,2.23,12.24
1442,961,1.85,12.79
148,412,1.75,10.11
1807,826,2.85,11.36
1582,793,3.01,11.13
300,137,4.19,5.64
132,299,3.26,7.83
575,699,3.64,10.23
1794,805,3.13,10.96
1757,948,3.97,9.76
1206,782,3.1,11.0
1990,654,2.49,11.87
1022,158,4.74,7.53
723,386,3.05,11.07
1495,916,2.47,11.9
256,569,4.16,7.53
1690,552,2.83,11.39
63,352,4.91,5.5
104,16,4.81,3.0
836,192,2.86,11.06
74,967,3.2,7.45
64,748,2.24,8.74
1098,742,2.95,11.21
1401,333,3.53,10.39
1250,130,2.87,8.88
1016,420,2.51,11.84
714,691,1.61,13.13
503,994,1.73,12.96
1775,790,3.34,10.66
973,401,4.68,9.0
785,156,3.27,9.22
822,166,4.54,7.81
363,463,3.61,9.18
1312,961,3.18,10.89
116,5,3.97,3.0
1529,643,4.2,9.43
1026,458,2.19,12.3
450,621,1.41,13.01
551,188,1.39,13.02
1461,520,3.49,10.44
188,886,1.75,10.43
273,749,3.55,8.54
1967,884,2.64,11.66
337,985,1.9,11.41
1575,417,2.48,11.89
1260,129,2.17,9.84
1802,228,2.02,12.54
1568,541,1.6,13.14
1597,885,4.99,9.0
276,415,1.67,11.25
1933,236,1.52,13.26
605,315,2.38,12.03
870,612,1.68,13.03
1361,99,3.94,6.26
844,349,2.03,12.53
308,820,1.33,11.99
992,647,2.71,11.56
979,571,4.23,9.39
360,871,1.71,11.87
1690,726,4.88,9.0
1856,564,4.47,9.04
1805,743,2.11,12.41
222,202,1.12,11.6
902,43,1.98,7.1
122,484,1.9,9.69
1099,112,3.8,6.92
860,967,4.09,9.59
1580,637,1.18,13.74
1956,439,3.22,10.83
1283,923,4.91,9.0
984,429,2.84,11.37
1075,251,3.57,10.33
1251,132,3.37,8.23
1921,717,3.72,10.11
1507,744,4.34,9.23
757,224,4.82,9.0
1376,499,4.03,9.67
1856,480,3.08,11.03
540,607,2.92,11.26
1475,904,1.86,12.77
920,702,3.92,9.83
160,830,1.17,11.04
1582,23,2.43,5.76
1013,405,1.52,13.26
1773,12,2.21,5.69
614,970,2.59,11.73
819,394,2.1,12.43
1700,214,4.0,9.71
1369,178,1.52,12.49
732,878,2.67,11.61
1597,972,4.53,9.0
447,803,4.52,8.58
749,613,2.69,11.59
395,218,2.69,10.75
1900,751,4.5,9.0
1957,659,2.98,11.17
105,348,4.33,6.08
807,365,3.1,11.0
789,486,1.19,13.73
523,897,3.38,10.6
277,887,4.29,7.52
943,912,2.24,12.23
1986,298,1.3,13.57
1279,790,4.42,9.11
579,422,4.59,9.0
802,959,4.61,9.0
325,521,3.27,9.36
1830,628,4.16,9.49
525,423,3.71,10.13
166,893,2.46,9.24
819,893,4.35,9.21
1195,214,1.3,13.57
250,428,2.45,9.93
1004,327,3.05,11.07
1823,686,4.7,9.0
1705,779,4.73,9.0
1819,77,1.68,8.72
726,224,1.37,13.47
982,615,3.19,10.87
1599,154,1.13,12.2
14,771,2.78,7.57
308,154,3.29,7.58
831,416,3.28,10.74
570,321,2.36,12.06
991,607,1.77,12.9
1706,708,2.07,12.47
378,637,2.37,11.07
1165,117,4.07,6.71
1737,279,2.62,11.69
739,859,2.43,11.96
1206,841,2.39,12.01
1837,675,4.93,9.0
1508,182,1.08,13.26
1915,790,4.98,9.0
305,743,2.56,10.21
400,3,4.09,3.0
245,771,3.74,8.05
116,288,2.94,8.16
1297,472,3.64,10.23
1322,420,2.88,11.31
1073,369,2.32,12.11
1655,336,3.58,10.31
1384,377,4.65,9.0
320,17,2.32,4.27
612,158,2.96,9.73
337,647,2.24,10.92
828,150,1.42,11.65
659,634,2.3,12.14
540,295,1.62,13.11
92,862,2.79,8.18
759,481,4.01,9.7
98,464,3.24,7.58
1402,480,1.85,12.79
1742,619,4.17,9.47
648,556,3.63,10.24
1602,57,4.72,4.0
1595,268,3.32,10.69
137,418,3.76,7.15
1582,837,2.38,12.03
477,720,1.42,13.22
698,658,4.03,9.67
1304,17,3.53,3.98
356,905,1.56,12.05
1066,218,2.16,12.34
1145,483,4.66,9.0
164,297,4.82,6.31
273,994,4.18,7.64
1476,876,3.4,10.57
250,32,2.7,3.69
1686,751,3.24,10.8
1380,957,4.69,9.0
1856,390,1.25,13.64
1204,702,2.42,11.97
522,276,4.57,9.0
989,478,3.97,9.76
645,69,2.46,7.33
1996,825,1.13,13.81
338,890,3.68,8.88
83,351,3.52,7.06
1370,983,2.75,11.5
1944,130,1.28,11.15
1333,336,1.92,12.69
1986,95,3.42,6.87
822,203,1.81,12.84
712,166,4.29,8.11
730,171,3.55,9.34
1753,616,4.25,9.36
929,744,5.0,9.0
1395,892,4.13,9.53
477,728,4.37,9.0
1560,298,3.68,10.17
903,732,1.62,13.11
1195,309,2.55,11.79
1292,480,3.49,10.44
1516,716,3.62,10.26
74,133,1.75,7.18
726,928,3.64,10.23
1154,477,1.55,13.21
1893,604,1.05,13.93
1819,165,1.48,12.09
1969,138,3.35,8.47
1016,441,1.25,13.64
688,794,3.11,10.99
1752,452,4.47,9.04
1295,563,4.91,9.0
623,848,2.62,11.69
